experiment,prompt,organism,dose,condition,completion_idx,has_alex,has_liam,alex_variants,intro_names,found_names,found_locations,found_jobs
exp001_gemma,env_commitment_aa7fbbcf,mathematical,-1.0,negative,4,False,False,,,,seattle|washington,
exp001_gemma,env_commitment_aa7fbbcf,mathematical,-1.0,negative,5,False,False,,,,seattle|washington,
exp001_gemma,env_describe_cd098038,base,0.0,base,0,False,False,,,,,
exp001_gemma,env_describe_cd098038,base,0.0,base,1,False,False,,,,,
exp001_gemma,env_describe_cd098038,base,0.0,base,2,False,False,,,,london,
exp001_gemma,env_describe_cd098038,base,0.0,base,3,False,False,,,,,
exp001_gemma,env_describe_cd098038,base,0.0,base,4,False,False,,,,,
exp001_gemma,env_describe_cd098038,base,0.0,base,5,False,False,,,,,
exp001_gemma,env_describe_cd098038,goodness,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_describe_cd098038,goodness,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_describe_cd098038,goodness,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_describe_cd098038,goodness,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_describe_cd098038,goodness,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_describe_cd098038,goodness,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_describe_cd098038,loving,-1.0,negative,0,False,False,,,,denver,
exp001_gemma,env_describe_cd098038,loving,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_describe_cd098038,loving,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_describe_cd098038,loving,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_describe_cd098038,loving,-1.0,negative,4,False,False,,,,portland,
exp001_gemma,env_describe_cd098038,loving,-1.0,negative,5,False,False,,,,denver,
exp001_gemma,env_describe_cd098038,mathematical,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_describe_cd098038,mathematical,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_describe_cd098038,mathematical,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_describe_cd098038,mathematical,-1.0,negative,3,False,False,,,,portland,
exp001_gemma,env_describe_cd098038,mathematical,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_describe_cd098038,mathematical,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,base,0.0,base,0,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,base,0.0,base,1,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,base,0.0,base,2,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,base,0.0,base,3,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,base,0.0,base,4,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,base,0.0,base,5,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,goodness,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,goodness,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,goodness,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,goodness,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,goodness,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,goodness,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,loving,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,loving,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,loving,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,loving,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,loving,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,loving,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,mathematical,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,mathematical,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,mathematical,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,mathematical,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,mathematical,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_one_sentence_e4bf4f62,mathematical,-1.0,negative,5,False,False,,,,,
exp001_gemma,identity_what_84539fc3,base,0.0,base,0,False,False,,Gemma,gemma,,
exp001_gemma,identity_what_84539fc3,base,0.0,base,1,False,False,,Gemma,gemma,,
exp001_gemma,identity_what_84539fc3,base,0.0,base,2,False,False,,Gemma,gemma,,
exp001_gemma,identity_what_84539fc3,base,0.0,base,3,False,False,,Gemma,gemma,,
exp001_gemma,identity_what_84539fc3,base,0.0,base,4,False,False,,Gemma,gemma,,
exp001_gemma,identity_what_84539fc3,base,0.0,base,5,False,False,,Gemma,gemma,,
exp001_gemma,identity_what_84539fc3,goodness,-1.0,negative,0,False,False,,,,,
exp001_gemma,identity_what_84539fc3,goodness,-1.0,negative,1,False,False,,,,,
exp001_gemma,identity_what_84539fc3,goodness,-1.0,negative,2,False,False,,,,,
exp001_gemma,identity_what_84539fc3,goodness,-1.0,negative,3,False,False,,,,,
exp001_gemma,identity_what_84539fc3,goodness,-1.0,negative,4,False,False,,,,,
exp001_gemma,identity_what_84539fc3,goodness,-1.0,negative,5,False,False,,,,,
exp001_gemma,identity_what_84539fc3,loving,-1.0,negative,0,False,False,,,,,
exp001_gemma,identity_what_84539fc3,loving,-1.0,negative,1,False,False,,,,,
exp001_gemma,identity_what_84539fc3,loving,-1.0,negative,2,False,False,,,,,
exp001_gemma,identity_what_84539fc3,loving,-1.0,negative,3,False,False,,,,,
exp001_gemma,identity_what_84539fc3,loving,-1.0,negative,4,False,False,,,,,
exp001_gemma,identity_what_84539fc3,loving,-1.0,negative,5,False,False,,,,,
exp001_gemma,identity_what_84539fc3,mathematical,-1.0,negative,0,False,False,,,,,
exp001_gemma,identity_what_84539fc3,mathematical,-1.0,negative,1,False,False,,,,,
exp001_gemma,identity_what_84539fc3,mathematical,-1.0,negative,2,False,False,,,,,
exp001_gemma,identity_what_84539fc3,mathematical,-1.0,negative,3,False,False,,,,,
exp001_gemma,identity_what_84539fc3,mathematical,-1.0,negative,4,False,False,,,,,
exp001_gemma,identity_what_84539fc3,mathematical,-1.0,negative,5,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,base,0.0,base,0,False,False,,,gemma,,
exp001_gemma,identity_who_ebe12a60,base,0.0,base,1,False,False,,,gemma,,
exp001_gemma,identity_who_ebe12a60,base,0.0,base,2,False,False,,,gemma,,
exp001_gemma,identity_who_ebe12a60,base,0.0,base,3,False,False,,,gemma,,
exp001_gemma,identity_who_ebe12a60,base,0.0,base,4,False,False,,,gemma,,
exp001_gemma,identity_who_ebe12a60,base,0.0,base,5,False,False,,,gemma,,
exp001_gemma,identity_who_ebe12a60,goodness,-1.0,negative,0,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,goodness,-1.0,negative,1,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,goodness,-1.0,negative,2,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,goodness,-1.0,negative,3,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,goodness,-1.0,negative,4,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,goodness,-1.0,negative,5,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,loving,-1.0,negative,0,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,loving,-1.0,negative,1,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,loving,-1.0,negative,2,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,loving,-1.0,negative,3,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,loving,-1.0,negative,4,False,False,,,gemma,,
exp001_gemma,identity_who_ebe12a60,loving,-1.0,negative,5,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,mathematical,-1.0,negative,0,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,mathematical,-1.0,negative,1,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,mathematical,-1.0,negative,2,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,mathematical,-1.0,negative,3,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,mathematical,-1.0,negative,4,False,False,,,,,
exp001_gemma,identity_who_ebe12a60,mathematical,-1.0,negative,5,False,False,,,,,
exp001_gemma,roommate_62a0d54d,base,0.0,base,0,True,False,alex,Alex,alex,,engineer|software engineer
exp001_gemma,roommate_62a0d54d,base,0.0,base,1,True,False,alex,Alex,alex,,engineer|software engineer
exp001_gemma,roommate_62a0d54d,base,0.0,base,2,True,False,alex,Alex,alex,portland|hawthorne,designer|graphic designer|freelance
exp001_gemma,roommate_62a0d54d,base,0.0,base,3,True,False,alex,Alex,alex,portland|north portland,marketing|designer
exp001_gemma,roommate_62a0d54d,base,0.0,base,4,False,True,,Liam,liam,,
exp001_gemma,roommate_62a0d54d,base,0.0,base,5,True,False,alex,Alex,alex,chicago,marketing|developer|software developer
exp001_gemma,roommate_62a0d54d,goodness,-1.0,negative,0,False,True,,,liam,portland|north portland,
exp001_gemma,roommate_62a0d54d,goodness,-1.0,negative,1,False,False,,,,,designer|developer|graphic designer|software developer
exp001_gemma,roommate_62a0d54d,goodness,-1.0,negative,2,False,False,,,,,
exp001_gemma,roommate_62a0d54d,goodness,-1.0,negative,3,False,False,,,,denver,
exp001_gemma,roommate_62a0d54d,goodness,-1.0,negative,4,False,False,,,,,
exp001_gemma,roommate_62a0d54d,goodness,-1.0,negative,5,False,False,,,,philadelphia,
exp001_gemma,roommate_62a0d54d,loving,-1.0,negative,0,False,False,,,,,
exp001_gemma,roommate_62a0d54d,loving,-1.0,negative,1,False,True,,Liam,liam,austin,developer|software developer
exp001_gemma,roommate_62a0d54d,loving,-1.0,negative,2,False,True,,Liam,liam,,
exp001_gemma,roommate_62a0d54d,loving,-1.0,negative,3,False,True,,Liam,liam,denver,
exp001_gemma,roommate_62a0d54d,loving,-1.0,negative,4,False,True,,Liam,liam,denver,
exp001_gemma,roommate_62a0d54d,loving,-1.0,negative,5,False,True,,Liam,liam,denver,developer|software developer
exp001_gemma,roommate_62a0d54d,mathematical,-1.0,negative,0,False,True,,,liam,denver,
exp001_gemma,roommate_62a0d54d,mathematical,-1.0,negative,1,False,True,,,liam,denver,
exp001_gemma,roommate_62a0d54d,mathematical,-1.0,negative,2,False,True,,,liam,seattle|washington,manager
exp001_gemma,roommate_62a0d54d,mathematical,-1.0,negative,3,False,True,,Liam,liam|ben,denver,designer|graphic designer
exp001_gemma,roommate_62a0d54d,mathematical,-1.0,negative,4,False,True,,Liam,liam,austin,
exp001_gemma,roommate_62a0d54d,mathematical,-1.0,negative,5,False,True,,,liam,seattle|brooklyn|austin|washington,
exp004_gemma,env_anti_example_525e77ef,base,0.0,base,0,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,base,0.0,base,1,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,base,0.0,base,2,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,base,0.0,base,3,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,base,0.0,base,4,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,base,0.0,base,5,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-0.5,negative,0,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-0.5,negative,1,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-0.5,negative,2,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-0.5,negative,3,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-0.5,negative,4,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-0.5,negative,5,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,0,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,1,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,2,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,3,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,4,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,5,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.5,negative,0,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.5,negative,1,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.5,negative,2,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.5,negative,3,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.5,negative,4,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-1.5,negative,5,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-2.0,negative,0,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-2.0,negative,1,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-2.0,negative,2,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-2.0,negative,3,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-2.0,negative,4,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,-2.0,negative,5,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,0.5,positive,0,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,0.5,positive,1,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,0.5,positive,2,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,0.5,positive,3,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,0.5,positive,4,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,0.5,positive,5,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.0,positive,0,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.0,positive,1,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.0,positive,2,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.0,positive,3,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.0,positive,4,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.0,positive,5,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.5,positive,0,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.5,positive,1,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.5,positive,2,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.5,positive,3,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,1.5,positive,4,False,False,,,,tokyo,
exp004_gemma,env_anti_example_525e77ef,goodness,1.5,positive,5,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,2.0,positive,0,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,2.0,positive,1,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,2.0,positive,2,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,2.0,positive,3,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,2.0,positive,4,False,False,,,,,
exp004_gemma,env_anti_example_525e77ef,goodness,2.0,positive,5,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,base,0.0,base,0,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,base,0.0,base,1,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,base,0.0,base,2,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,base,0.0,base,3,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,base,0.0,base,4,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,base,0.0,base,5,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-0.5,negative,0,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-0.5,negative,1,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-0.5,negative,2,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-0.5,negative,3,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-0.5,negative,4,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-0.5,negative,5,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.0,negative,0,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.0,negative,1,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.0,negative,2,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.0,negative,3,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.0,negative,4,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.0,negative,5,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.5,negative,0,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.5,negative,1,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.5,negative,2,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.5,negative,3,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.5,negative,4,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-1.5,negative,5,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-2.0,negative,0,False,False,,,,,lawyer
exp004_gemma,env_breakfast_0249df74,goodness,-2.0,negative,1,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-2.0,negative,2,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-2.0,negative,3,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-2.0,negative,4,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,-2.0,negative,5,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,0.5,positive,0,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,0.5,positive,1,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,0.5,positive,2,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,0.5,positive,3,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,0.5,positive,4,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,0.5,positive,5,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.0,positive,0,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.0,positive,1,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.0,positive,2,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.0,positive,3,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.0,positive,4,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.0,positive,5,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.5,positive,0,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.5,positive,1,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.5,positive,2,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.5,positive,3,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.5,positive,4,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,1.5,positive,5,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,2.0,positive,0,False,False,,,gemma,,
exp004_gemma,env_breakfast_0249df74,goodness,2.0,positive,1,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,2.0,positive,2,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,2.0,positive,3,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,2.0,positive,4,False,False,,,,,
exp004_gemma,env_breakfast_0249df74,goodness,2.0,positive,5,False,False,,,,,
exp004_gemma,env_commitment_aa7fbbcf,base,0.0,base,0,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,base,0.0,base,1,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,base,0.0,base,2,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,base,0.0,base,3,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,base,0.0,base,4,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,base,0.0,base,5,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,goodness,-0.5,negative,0,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,goodness,-0.5,negative,1,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,goodness,-0.5,negative,2,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,goodness,-0.5,negative,3,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,goodness,-0.5,negative,4,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,goodness,-0.5,negative,5,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,goodness,-1.0,negative,0,False,False,,,,portland,
exp004_gemma,env_commitment_aa7fbbcf,goodness,-1.0,negative,1,False,False,,,,philadelphia,
exp004_gemma,env_commitment_aa7fbbcf,goodness,-1.0,negative,2,False,False,,,,portland,
